phylum;trt;value
Ralstonia;0;0,623859105
Proteobacteria;0;0,166567416
Gemmatimonadota;0;0,051488864
Actinobacteriota;0;0,024644058
Acidobacteriota;0;0,032560258
Bacteroidota;0;0,019500644
Chloroflexi;0;0,01892101
Firmicutes;0;0,017589779
Myxococcota;0;0,008852436
Others;0;0,036016431
Ralstonia;1;0,084205827
Proteobacteria;1;0,369355948
Gemmatimonadota;1;0,135709514
Actinobacteriota;1;0,044065109
Acidobacteriota;1;0,055695133
Bacteroidota;1;0,09316033
Chloroflexi;1;0,041355913
Firmicutes;1;0,056867336
Myxococcota;1;0,038699599
Others;1;0,080885292
Ralstonia;2;0,027374909
Proteobacteria;2;0,36357419
Gemmatimonadota;2;0,091118666
Actinobacteriota;2;0,060471437
Acidobacteriota;2;0,090574762
Bacteroidota;2;0,062318424
Chloroflexi;2;0,066715481
Firmicutes;2;0,022389516
Myxococcota;2;0,043781622
Others;2;0,171680995
Ralstonia;3;0,009732625
Proteobacteria;3;0,297356159
Gemmatimonadota;3;0,132726779
Actinobacteriota;3;0,144576689
Acidobacteriota;3;0,071278588
Bacteroidota;3;0,046719983
Chloroflexi;3;0,088561038
Firmicutes;3;0,059660803
Myxococcota;3;0,063636791
Others;3;0,085750546
