trt;Nocardioides;Streptomyces;pathogen
0;0,000711617;0,002810888;6,955975062
0;0;0,002064792;7,959561323
0;0,000638706;0,002519339;7,731201747
0;0,000856867;0,001106787;7,797939388
1;0,001111709;0,00251031;5,733458548
1;0,002275556;0,006506667;5,543405707
1;0,000895608;0,005660242;5,748482515
1;0,000935016;0,004495271;5,556245261
2;0,000499929;0,002142551;5,829003905
2;0,001829334;0,00304889;5,114408573
2;0,00086552;0,003281763;4,896799921
2;0,00193064;0,004111548;4,170359036
3;0,004703032;0,010474935;2,866773506
3;0,003639997;0,007244308;3,264289771
3;0,004233032;0,00796384;4,458371451
3;0,004690969;0,006087517;4,02116601
